Subscriptions,Operation,Mean_Time_s,StdErr_Time_s,Mean_Bytes,StdErr_Bytes
1,IssuePrepare,0.0015043896813585888,8.90162116327953e-06,2540.21,1.1323788315673418
1,IssueSign,0.002050634460319998,8.099786413395899e-06,343.0,0.0
1,IssueObtain,0.004659524480521213,8.197993071185125e-05,0.0,0.0
3,IssuePrepare,0.002224853169027483,0.00020239282475195894,3666.41,1.7562641134987742
3,IssueSign,0.0029820641994592733,0.00011527528643907931,343.0,0.0
3,IssueObtain,0.005957830231054686,0.00026369488242515836,0.0,0.0
5,IssuePrepare,0.0022359665397380015,9.80374016182486e-06,4786.94,2.2123537445239383
5,IssueSign,0.003418052900087787,1.1533851382918256e-05,343.0,0.0
5,IssueObtain,0.006167393870855449,1.5262035117481416e-05,0.0,0.0
10,IssuePrepare,0.0031737089504895264,1.914259277815845e-05,7592.96,1.5284454372156877
10,IssueSign,0.005247525401209714,9.504088390990982e-05,343.0,0.0
10,IssueObtain,0.00826457931078039,8.3460207475489e-05,0.0,0.0
